cow,breed,lactation_number_in_data,calvdate,parity,date,mtotalmotion,mtotalsteps,mhoursstanding,mhourslying,mlyingbouts,mrumination,mactivity,predictedcalving,calved,calvingeasescore,date1,daysprior
1225,H,1,21-Aug-12,multiparous,07AUG12:00:00:00,305.8333333,77.75,1.552847222,0.426319444,0.25,,,8,0,1,7-Aug-12,-14
1225,H,1,21-Aug-12,multiparous,08AUG12:00:00:00,238.75,61.41666667,1.750717593,0.249282407,0.333333333,,,7,0,1,8-Aug-12,-13
1225,H,1,21-Aug-12,multiparous,09AUG12:00:00:00,297.5833333,77.16666667,1.651064815,0.348935185,0.5,,,6,0,1,9-Aug-12,-12
1225,H,1,21-Aug-12,multiparous,10AUG12:00:00:00,193.6666667,50.58333333,1.236273148,0.763726852,0.833333333,,,5,0,1,10-Aug-12,-11
1225,H,1,21-Aug-12,multiparous,11AUG12:00:00:00,223.6666667,56.58333333,1.255694444,0.744305556,1.083333333,,,4,0,1,11-Aug-12,-10
1225,H,1,21-Aug-12,multiparous,12AUG12:00:00:00,226.4166667,58.25,1.550925926,0.449074074,0.666666667,,,3,0,1,12-Aug-12,-9
1225,H,1,21-Aug-12,multiparous,13AUG12:00:00:00,232.75,60.91666667,1.689537037,0.310462963,0.416666667,,,2,0,1,13-Aug-12,-8
1225,H,1,21-Aug-12,multiparous,14AUG12:00:00:00,360.1666667,89.91666667,1.430601852,0.569398148,0.833333333,,,1,0,1,14-Aug-12,-7
1225,H,1,21-Aug-12,multiparous,15AUG12:00:00:00,458.75,117.5,1.261342593,0.738657407,1.25,,,0,0,1,15-Aug-12,-6
1225,H,1,21-Aug-12,multiparous,16AUG12:00:00:00,360,87.25,1.132268519,0.867731482,1.416666667,,,0,0,1,16-Aug-12,-5
1225,H,1,21-Aug-12,multiparous,17AUG12:00:00:00,343.6666667,83.25,1.513078704,0.486921296,0.75,,,0,0,1,17-Aug-12,-4
1225,H,1,21-Aug-12,multiparous,18AUG12:00:00:00,277.5,65.91666667,1.573518519,0.426481482,0.666666667,,,0,0,1,18-Aug-12,-3
1225,H,1,21-Aug-12,multiparous,19AUG12:00:00:00,361,88.16666667,1.510046296,0.489953704,0.416666667,,,0,0,1,19-Aug-12,-2
1225,H,1,21-Aug-12,multiparous,20AUG12:00:00:00,266.5,62.91666667,1.382268519,0.617731482,1.416666667,,,0,0,1,20-Aug-12,-1
1225,H,1,21-Aug-12,multiparous,21AUG12:00:00:00,440,106.5,1.419375,0.580625,2.25,,,0,1,1,21-Aug-12,0
1246,H,1,4-Dec-11,multiparous,20NOV11:00:00:00,352.6666667,90.41666667,0.596851852,1.403148148,1,15.5,9.366666667,1,0,1,20-Nov-11,-14
1246,H,1,4-Dec-11,multiparous,21NOV11:00:00:00,400.75,106.5833333,0.818634259,1.181365741,1,30.25,20.56666667,0,0,1,21-Nov-11,-13
1246,H,1,4-Dec-11,multiparous,22NOV11:00:00:00,417.1666667,114.0833333,0.753634259,1.246365741,1.166666667,24.25,15.10833333,0,0,1,22-Nov-11,-12
1246,H,1,4-Dec-11,multiparous,23NOV11:00:00:00,465.1666667,121.1666667,0.766898148,1.233101852,1.25,18.75,25.775,0,0,1,23-Nov-11,-11
1246,H,1,4-Dec-11,multiparous,24NOV11:00:00:00,670.75,172,0.735486111,1.264513889,1.166666667,27,22.16666667,0,0,1,24-Nov-11,-10
1246,H,1,4-Dec-11,multiparous,25NOV11:00:00:00,583,159.0833333,0.872152778,1.127847222,0.833333333,20.75,16.79166667,0,0,1,25-Nov-11,-9
1246,H,1,4-Dec-11,multiparous,26NOV11:00:00:00,670.4166667,167.25,0.815416667,1.184583333,1.166666667,21.41666667,22.2,0,0,1,26-Nov-11,-8
1246,H,1,4-Dec-11,multiparous,27NOV11:00:00:00,268.75,68.5,0.78599537,1.21400463,1.333333333,31.08333333,18.15,0,0,1,27-Nov-11,-7
1246,H,1,4-Dec-11,multiparous,28NOV11:00:00:00,535.5,141.4166667,0.975625,1.024375,1.25,13.25,7.516666667,0,0,1,28-Nov-11,-6
1246,H,1,4-Dec-11,multiparous,29NOV11:00:00:00,312.4166667,83.33333333,0.742592593,1.257407407,1,22.08333333,10.075,0,0,1,29-Nov-11,-5
1246,H,1,4-Dec-11,multiparous,30NOV11:00:00:00,421.3333333,117.25,0.698449074,1.301550926,1.333333333,35.75,23.23333333,0,0,1,30-Nov-11,-4
1246,H,1,4-Dec-11,multiparous,01DEC11:00:00:00,592.0833333,162.5833333,1.015208333,0.984791667,1.083333333,26.08333333,21.775,0,0,1,1-Dec-11,-3
1246,H,1,4-Dec-11,multiparous,02DEC11:00:00:00,489.8333333,130.5833333,0.830833333,1.169166667,1.166666667,40.83333333,26.05,0,0,1,2-Dec-11,-2
1246,H,1,4-Dec-11,multiparous,03DEC11:00:00:00,742,200.9166667,0.949398148,1.050601852,2.083333333,32,26.73333333,0,0,1,3-Dec-11,-1
1246,H,1,4-Dec-11,multiparous,04DEC11:00:00:00,866.5,198.25,1.404722222,0.595277778,1.25,2.75,34.95,0,1,1,4-Dec-11,0
1284,H,1,27-Jun-12,multiparous,13JUN12:00:00:00,578.25,160.75,0.854212963,1.145787037,0.833333333,,,12,0,1,13-Jun-12,-14
1284,H,1,27-Jun-12,multiparous,14JUN12:00:00:00,711.1666667,191.5,1.068587963,0.931412037,0.583333333,,,11,0,1,14-Jun-12,-13
1284,H,1,27-Jun-12,multiparous,15JUN12:00:00:00,690.8333333,190.9166667,1.09,0.91,0.333333333,,,10,0,1,15-Jun-12,-12
1284,H,1,27-Jun-12,multiparous,16JUN12:00:00:00,659,183.1666667,1.106157407,0.893842593,0.666666667,,,9,0,1,16-Jun-12,-11
1284,H,1,27-Jun-12,multiparous,17JUN12:00:00:00,654.6666667,187.4166667,1.008935185,0.991064815,0.833333333,,,8,0,1,17-Jun-12,-10
1284,H,1,27-Jun-12,multiparous,18JUN12:00:00:00,612.4166667,169.1666667,0.888935185,1.111064815,0.75,,,7,0,1,18-Jun-12,-9
1284,H,1,27-Jun-12,multiparous,19JUN12:00:00:00,1023.333333,276.8333333,1.195578704,0.76275463,0.416666667,,,6,0,1,19-Jun-12,-8
1284,H,1,27-Jun-12,multiparous,20JUN12:00:00:00,685.8333333,186.3333333,1.112569444,0.887430556,0.75,,,5,0,1,20-Jun-12,-7
1284,H,1,27-Jun-12,multiparous,21JUN12:00:00:00,503.5,128.1666667,0.937592593,1.062407407,0.416666667,,,4,0,1,21-Jun-12,-6
1284,H,1,27-Jun-12,multiparous,22JUN12:00:00:00,485.9166667,128.25,1.016435185,0.983564815,0.75,,,3,0,1,22-Jun-12,-5
1284,H,1,27-Jun-12,multiparous,23JUN12:00:00:00,493.6666667,130.25,0.959027778,1.040972222,0.583333333,,,2,0,1,23-Jun-12,-4
1284,H,1,27-Jun-12,multiparous,24JUN12:00:00:00,588.8333333,155.25,1.102824074,0.897175926,0.583333333,,,1,0,1,24-Jun-12,-3
1284,H,1,27-Jun-12,multiparous,25JUN12:00:00:00,369.4166667,92,0.82525463,1.17474537,0.75,,,0,0,1,25-Jun-12,-2
1284,H,1,27-Jun-12,multiparous,26JUN12:00:00:00,331.4166667,83.5,0.738726852,1.261273148,0.666666667,,,0,0,1,26-Jun-12,-1
1284,H,1,27-Jun-12,multiparous,27JUN12:00:00:00,345.125,83.875,0.758229167,1.241770833,1.125,,,0,1,1,27-Jun-12,0
1332,H,1,23-Aug-12,multiparous,09AUG12:00:00:00,1075.333333,277,1.27125,0.72875,0.75,25,35.86666667,15,0,1,9-Aug-12,-14
1332,H,1,23-Aug-12,multiparous,10AUG12:00:00:00,968.1666667,240.5,1.028912037,0.971087963,1.166666667,26.83333333,34.50833333,14,0,1,10-Aug-12,-13
1332,H,1,23-Aug-12,multiparous,11AUG12:00:00:00,994.25,249.3333333,0.927337963,1.072662037,1,30.16666667,37.16666667,13,0,1,11-Aug-12,-12
1332,H,1,23-Aug-12,multiparous,12AUG12:00:00:00,1135.75,288.3333333,1.109189815,0.890810185,0.666666667,28.16666667,40.90833333,12,0,1,12-Aug-12,-11
1332,H,1,23-Aug-12,multiparous,13AUG12:00:00:00,926.6666667,231.0833333,1.208680556,0.791319444,1,24.16666667,32.81666667,11,0,1,13-Aug-12,-10
1332,H,1,23-Aug-12,multiparous,14AUG12:00:00:00,1006.333333,255.6666667,1.062708333,0.937291667,0.916666667,27,35.15,10,0,1,14-Aug-12,-9
1332,H,1,23-Aug-12,multiparous,15AUG12:00:00:00,1163.416667,286,1.182962963,0.817037037,0.75,27.41666667,44.775,9,0,1,15-Aug-12,-8
1332,H,1,23-Aug-12,multiparous,16AUG12:00:00:00,1105.5,266.3333333,1.136597222,0.863402778,0.666666667,28.66666667,43.875,8,0,1,16-Aug-12,-7
1332,H,1,23-Aug-12,multiparous,17AUG12:00:00:00,865.8333333,215.5833333,0.856365741,1.143634259,1,26.08333333,38.81666667,7,0,1,17-Aug-12,-6
1332,H,1,23-Aug-12,multiparous,18AUG12:00:00:00,1073.75,276.0833333,1.093425926,0.906574074,1,19.33333333,42.34166667,6,0,1,18-Aug-12,-5
1332,H,1,23-Aug-12,multiparous,19AUG12:00:00:00,972.6666667,244.25,1.065601852,0.934398148,1,19.58333333,42.44166667,5,0,1,19-Aug-12,-4
1332,H,1,23-Aug-12,multiparous,20AUG12:00:00:00,831.75,211.5,0.959074074,1.040925926,1.166666667,18.75,38.91666667,4,0,1,20-Aug-12,-3
1332,H,1,23-Aug-12,multiparous,21AUG12:00:00:00,916.3333333,231,1.051203704,0.90712963,1.083333333,18.41666667,38.48333333,3,0,1,21-Aug-12,-2
1332,H,1,23-Aug-12,multiparous,22AUG12:00:00:00,1001.916667,265.25,1.262685185,0.737314815,1,19.66666667,36.85,2,0,1,22-Aug-12,-1
1332,H,1,23-Aug-12,multiparous,23AUG12:00:00:00,1349.25,322.25,0.978680556,1.021319444,4,5.75,46.9,1,1,1,23-Aug-12,0
1346,H,1,29-Oct-11,multiparous,18OCT11:00:00:00,939.5,234.5,0.821064815,1.178935185,0.666666667,10.33333333,4.45,8,0,1,18-Oct-11,-11
1346,H,1,29-Oct-11,multiparous,19OCT11:00:00:00,432.1666667,108.4166667,0.810393519,1.189606482,0.583333333,34.25,22.175,7,0,1,19-Oct-11,-10
1346,H,1,29-Oct-11,multiparous,20OCT11:00:00:00,810,202.4166667,1.017662037,0.982337963,0.5,57.25,29.23333333,6,0,1,20-Oct-11,-9
1346,H,1,29-Oct-11,multiparous,21OCT11:00:00:00,714.75,180.75,0.903194444,1.096805556,0.666666667,39.08333333,29,5,0,1,21-Oct-11,-8
1346,H,1,29-Oct-11,multiparous,22OCT11:00:00:00,551.1666667,138.5833333,0.779074074,1.220925926,0.75,58.66666667,31.75,4,0,1,22-Oct-11,-7
1346,H,1,29-Oct-11,multiparous,23OCT11:00:00:00,428.75,99.33333333,0.685046296,1.314953704,0.75,48.41666667,29.08333333,3,0,1,23-Oct-11,-6
1346,H,1,29-Oct-11,multiparous,24OCT11:00:00:00,793.5833333,199.5833333,0.824027778,1.175972222,1,35.41666667,26.41666667,2,0,1,24-Oct-11,-5
1346,H,1,29-Oct-11,multiparous,25OCT11:00:00:00,660.75,164.6666667,0.937523148,1.062476852,0.916666667,35.33333333,27.175,1,0,1,25-Oct-11,-4
